PERFUME_ID,OCCASION,ratio,LOAD_DT
8547,Leisure,17.04,2026-01-19 08:38:20
8550,Daily,26.97,2026-01-19 08:38:20
8550,Leisure,26.97,2026-01-19 08:38:20
8550,Business,23.6,2026-01-19 08:38:20
8551,Daily,26.68,2026-01-19 08:38:20
8551,Leisure,24.48,2026-01-19 08:38:20
8551,Business,24.36,2026-01-19 08:38:20
8555,Daily,26.95,2026-01-19 08:38:20
8555,Leisure,26.24,2026-01-19 08:38:20
8555,Business,22.7,2026-01-19 08:38:20
8558,Business,26.96,2026-01-19 08:38:20
8558,Daily,25.22,2026-01-19 08:38:20
8558,Leisure,25.22,2026-01-19 08:38:20
8559,Daily,23.75,2026-01-19 08:38:20
8559,Business,21.9,2026-01-19 08:38:20
8559,Leisure,21.09,2026-01-19 08:38:20
8562,Daily,25.53,2026-01-19 08:38:20
8562,Business,23.4,2026-01-19 08:38:20
8562,Leisure,21.99,2026-01-19 08:38:20
8563,Daily,25.28,2026-01-19 08:38:20
8563,Leisure,24.03,2026-01-19 08:38:20
8563,Business,23.28,2026-01-19 08:38:20
8567,Daily,25.36,2026-01-19 08:38:20
8567,Business,24.88,2026-01-19 08:38:20
8567,Leisure,24.17,2026-01-19 08:38:20
8570,Daily,28.57,2026-01-19 08:38:20
8570,Leisure,24.68,2026-01-19 08:38:20
8570,Business,19.48,2026-01-19 08:38:20
8571,Leisure,22.43,2026-01-19 08:38:20
8571,Daily,21.11,2026-01-19 08:38:20
8571,Business,20.84,2026-01-19 08:38:20
8571,Evening,19.26,2026-01-19 08:38:20
8571,Night Out,16.36,2026-01-19 08:38:20
8576,Leisure,33.33,2026-01-19 08:38:20
8576,Business,33.33,2026-01-19 08:38:20
8576,Daily,16.67,2026-01-19 08:38:20
8576,Night Out,16.67,2026-01-19 08:38:20
8578,Daily,26.73,2026-01-19 08:38:20
8578,Business,24.54,2026-01-19 08:38:20
8578,Leisure,22.93,2026-01-19 08:38:20
8579,Daily,25.81,2026-01-19 08:38:20
8579,Leisure,25.81,2026-01-19 08:38:20
8579,Business,23.66,2026-01-19 08:38:20
8582,Daily,24.43,2026-01-19 08:38:20
8582,Leisure,23.62,2026-01-19 08:38:20
8582,Business,23.22,2026-01-19 08:38:20
8582,Evening,15.03,2026-01-19 08:38:20
8584,Daily,29.55,2026-01-19 08:38:20
8584,Leisure,26.14,2026-01-19 08:38:20
8584,Business,25.0,2026-01-19 08:38:20
8586,Daily,21.65,2026-01-19 08:38:20
8586,Leisure,21.19,2026-01-19 08:38:20
8586,Business,20.88,2026-01-19 08:38:20
8586,Evening,18.6,2026-01-19 08:38:20
8586,Night Out,17.68,2026-01-19 08:38:20
8588,Daily,31.0,2026-01-19 08:38:20
8588,Leisure,31.0,2026-01-19 08:38:20
8588,Business,25.0,2026-01-19 08:38:20
8589,Daily,100.0,2026-01-19 08:38:20
8590,Night Out,24.1,2026-01-19 08:38:20
8590,Evening,23.08,2026-01-19 08:38:20
8590,Business,18.97,2026-01-19 08:38:20
8590,Leisure,18.46,2026-01-19 08:38:20
8590,Daily,15.38,2026-01-19 08:38:20
8592,Leisure,27.18,2026-01-19 08:38:20
8592,Daily,23.3,2026-01-19 08:38:20
8592,Business,20.39,2026-01-19 08:38:20
8592,Evening,15.53,2026-01-19 08:38:20
8593,Daily,28.57,2026-01-19 08:38:20
8593,Leisure,28.57,2026-01-19 08:38:20
8593,Business,28.57,2026-01-19 08:38:20
8594,Business,24.93,2026-01-19 08:38:20
8594,Daily,24.33,2026-01-19 08:38:20
